telephone;code client;Nom;Prenom;Durée relation (années);Région
682167138;RICAR;MEYER;Stéphanie;4 ans;Normandie
602030110;RICSU;DUFOUR;Céline;7 ans;Provence-Alpes-Côte d'Azur
609302124;SAVEA;MEUNIER;Véronique;13 ans;Bourgogne-Franche-Comté
618080213;SEVES;BRUN;Chantal;6 ans;Hauts-de-France
658136591;SIMOB;BLANCHARD;Marcelle;5 ans;Île-de-France
673264152;SUPRD;GIRAUD;Renée;7 ans;Pays de la Loire
699018767;THEBI;JOLY;Simone;1 ans;Centre-Val de Loire
644665795;THECR;RIVIERE;Jeannine;2 ans;Centre-Val de Loire
697993387;TOMSP;LUCAS;Andrée;3 ans;Bretagne
606260473;TORTU;BRUNET;Sébastien;6 ans;Corse
677181207;TRADH;Nom;Alexandre;1 ans;Hauts-de-France
610021248;TRAIH;GAILLARD;Thierry;1 ans;Bretagne
610691337;VAFFE;BARBIER;Olivier;5 ans;Centre-Val de Loire
620548999;VICTE;ARNAUD;Thomas;10 ans;Bretagne
610712584;VINET;MARTINEZ;Antoine;2 ans;Bourgogne-Franche-Comté
688773373;WANDK;GERARD;Raymond;9 ans;Provence-Alpes-Côte d'Azur
613158592;WARTH;ROCHE;Guy;15 ans;Pays de la Loire
636357851;WELLI;RENARD;Dominique;11 ans;Île-de-France
610813948;WHITC;SCHMITT;Charles;7 ans;Centre-Val de Loire
655913196;WILMK;ROY;Didier;2 ans;Centre-Val de Loire
655461002;WOLZA;LEROUX;Marc;14 ans;Île-de-France
