telephone;code client;Nom;Prenom;Durée relation (années);Région
607429854;LILAS;LEGRAND;Catherine;10 ans;Pays de la Loire
624096193;LINOD;GAUTHIER;Nathalie;1 ans;Bretagne
682807981;LONEP;GARCIA;Isabelle;7 ans;Centre-Val de Loire
675753170;MAGAA;PERRIN;Jacqueline;4 ans;Centre-Val de Loire
621232076;MAISD;ROBIN;Anne;7 ans;Normandie
600861959;MEREP;CLEMENT;Sylvie;5 ans;Provence-Alpes-Côte d'Azur
621830083;MORGK;MORIN;Martine;9 ans;Bourgogne-Franche-Comté
677745059;NORTS;NICOLAS;Madeleine;15 ans;Nouvelle-Aquitaine
645816708;OCÉAN;HENRY;Nicole;3 ans;Auvergne-Rhône-Alpes
684712823;OLDWO;ROUSSEL;Suzanne;0 ans;Auvergne-Rhône-Alpes
626592797;OTTIK;MATHIEU;Hélène;6 ans;Nouvelle-Aquitaine
642547297;PERIC;GAUTIER;Christine;8 ans;Bourgogne-Franche-Comté
659209662;PICCO;MASSON;Marguerite;7 ans;Pays de la Loire
681219078;PRINI;MARCHAND;Denise;4 ans;Grand Est
694981958;QUEDE;DUVAL;Louise;11 ans;Île-de-France
607730298;QUICK;DENIS;Christiane;8 ans;Auvergne-Rhône-Alpes
693258900;RANCH;DUMONT;Yvonne;4 ans;Pays de la Loire
677414941;RATTC;MARIE;Valérie;4 ans;Provence-Alpes-Côte d'Azur
651948701;REGGC;LEMAIRE;Sophie;3 ans;Hauts-de-France
661843106;REINE;NOEL;Sandrine;2 ans;Normandie
