telephone;code client;Nom;Prenom;Durée relation (années);Région
687486202;ERNSH;MOREL;Henri;12 ans;Corse
609633184;FAMIA;FOURNIER;Georges;3 ans;Normandie
674628860;FOLIG;GIRARD;Nicolas;3 ans;Hauts-de-France
636955938;FOLKO;BONNET;François;10 ans;Normandie
618060762;FRANR;DUPONT;Patrick;11 ans;Normandie
678315717;FRANS;LAMBERT;Gérard;2 ans;Corse
657464466;FURIB;FONTAINE;Christophe;3 ans;Nouvelle-Aquitaine
677762163;GODOS;ROUSSEAU;Joseph;15 ans;Nouvelle-Aquitaine
689146834;GOURL;VINCENT;Julien;13 ans;Pays de la Loire
615546638;GREAL;MULLER;Maurice;6 ans;Pays de la Loire
654839207;HANAR;LEFEVRE;Laurent;2 ans;Provence-Alpes-Côte d'Azur
642403933;HILAA;FAURE;Frédéric;2 ans;Provence-Alpes-Côte d'Azur
697552758;HUNGC;ANDRE;Eric;7 ans;Grand Est
616675809;HUNGO;MERCIER;David;7 ans;Provence-Alpes-Côte d'Azur
683233385;ISLAT;BLANC;Stéphane;10 ans;Pays de la Loire
639480706;KOENE;GUERIN;Pascal;8 ans;Île-de-France
685765253;LAMAI;BOYER;Marie;7 ans;Corse
646402473;LAUGB;GARNIER;Jeanne;13 ans;Hauts-de-France
625433577;LAZYK;CHEVALIER;Françoise;14 ans;Pays de la Loire
670390786;LEHMS;FRANCOIS;Monique;5 ans;Normandie
